Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YNL160W	P38616							"CARBOHYD 40;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 50;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 53;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 58;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 61;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 65;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 87;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 94;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 100;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 106;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 118;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 172;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 239;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 286;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""				"PROPEP 20..37;  /evidence=""ECO:0000269|PubMed:8139573"";  /id=""PRO_0000022705"""	"SIGNAL 1..19;  /evidence=""ECO:0000255"""				"DOMAIN 50..354;  /note=""Asparaginase/glutaminase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01068"""			
YGR038C-A	Q12485				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q12441"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000279068"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGR038C-B	Q12269		"METAL 671;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 736;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1346;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1427;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1428;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1610;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1652;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1685;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 582..583;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 1217..1218;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q99231"""						"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 660..835;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1338..1476;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1610..1752;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1178..1212;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..421;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 583..640;  /note=""Integrase-type zinc finger-like""; REGION 956..1087;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1092..1111;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1130..1187;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL159W	P53110									"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0007744|PubMed:22814378"""										
YGR161C-C	P0CX67				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q12441"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000409784"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGR161C-D	Q12316		"METAL 671;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 736;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1346;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1427;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1428;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1610;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1652;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1685;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 582..583;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 1217..1218;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q99231"""						"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 660..835;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1338..1476;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1610..1752;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1178..1212;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..421;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 583..640;  /note=""Integrase-type zinc finger-like""; REGION 956..1172;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHR020W	P38708									"MOD_RES 149;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 170;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 655;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 631..650;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGR146C-A	Q8TGT9																			
YGR161W-C	Q3E744																			
YGR174W-A	Q8TGT8																			
YGL188C-A	Q8TGU1																			
YGL194C-A	Q2V2P6																			
YHR022C	P38763			"NP_BIND 29..36;  /note=""ATP"";  /evidence=""ECO:0000255"""																
YGR016W	P53209																			
YGR017W	P53210																		"REGION 136..174;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCL002C	P25565																			
YHR029C	P38765																			
YGR018C	P53211																			
YGL176C	P46945																			
YGR021W	P53212																			
YGR045C	P53229																			
YGR050C	P53231																		"REGION 97..118;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL193C	P53097																			
YGR204C-A	Q8TGT7																			
YGL204C	P53089																			
YGR111W	P53265																			
YDR514C	Q04408																			
YHR173C	P38864																			
YEL009C-A	A0A023PZF2																			
YER188W	P40103																			
YDL012C	Q12489					"CROSSLNK 13;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""									"REGION 1..86;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YER190C-B	P0CX94																			
YER189W	P40104																			
YDR018C	Q12185															DOMAIN: The HXXXXD motif is essential for acyltransferase activity and may constitute the binding site for the phosphate moiety of the glycerol-3-phosphate. {ECO:0000250}.		"MOTIF 117..122;  /note=""HXXXXD motif"""		
YDL022C-A	P0C5L6																			
YDL057W	Q07379																			
YDR061W	Q12298			"NP_BIND 339..346;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""													"DOMAIN 8..265;  /note=""ABC transporter 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434""; DOMAIN 307..537;  /note=""ABC transporter 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""			
YDL073W	Q07454																		"REGION 675..712;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR089W	P38966									"MOD_RES 238;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 241;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 316;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 324;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 327;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 609;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 612;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 668;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 760;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""							"DOMAIN 1..154;  /note=""SPX"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00714"""		"REGION 205..242;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 599..629;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR090C	Q03193							"CARBOHYD 251;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 259;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""		"MOD_RES 229;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198"""							"DOMAIN 5..69;  /note=""PQ-loop 1""; DOMAIN 138..194;  /note=""PQ-loop 2"""			
YDR102C	Q03864																			
YDL109C	Q12103																		"REGION 502..523;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDL114W	Q07530			"NP_BIND 42..66;  /note=""NADP"";  /evidence=""ECO:0000250"""																
YDR098C-A	Q03856				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q12441"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000279008"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR098C-B	Q03855		"METAL 671;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 736;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1346;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1427;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1428;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1610;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1652;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1685;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 582..583;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 1217..1218;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q99231"""						"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 660..835;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1338..1476;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1610..1752;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1178..1212;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..421;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 583..640;  /note=""Integrase-type zinc finger-like""; REGION 956..1087;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1092..1111;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1130..1187;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHL041W	P38730																			
YDR124W	Q04608																		"REGION 253..288;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHL042W	P38729												"SIGNAL 1..39;  /evidence=""ECO:0000255"""							
YDL129W	Q07555									"MOD_RES 267;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 1..62;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 220..242;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 255..291;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHL044W	P38727																			
YDR210C-C	Q12441				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000279016"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR210C-D	Q99231		"METAL 671;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 736;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1346;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1427;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1428;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1610;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1652;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1685;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 582..583;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 1217..1218;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""						"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 660..835;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1338..1476;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1610..1752;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1178..1212;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..421;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 583..640;  /note=""Integrase-type zinc finger-like""; REGION 956..1087;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1092..1111;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1130..1186;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
